,var,station_id,period,season,trend [%/yr],trend err [%/yr],yoffs,slope,slope err,num yrs,pval,unit
207,concpm25,ES0010R,2000-2010,summer,-4.6842627173587505,1.6864934884749077,13.450994173685707,-0.6300799051920573,0.21148522240774964,10,0.002212852733686067,ug m-3
208,concpm25,ES0010R,2000-2010,autumn,-4.292663284095526,1.5277463818699826,10.68942969640096,-0.4588612238566078,0.1516492631700303,10,0.04662257495590829,ug m-3
209,concpm25,ES0010R,2000-2010,winter,-5.596215170588605,1.5125023470581684,11.663102392923264,-0.6526923054740543,0.1686922642919751,9,0.0058862433862433864,ug m-3
210,concpm25,ES0010R,2010-2019,all,-1.4480721933355842,1.5805134575718114,6.092806924473155,-0.08822824286692077,0.09589324996928972,9,0.47670855379188715,ug m-3
211,concpm25,ES0010R,2010-2019,spring,-3.621558003858526,2.3092545025380313,7.353008890151976,-0.2662934819857279,0.16677570343017575,9,0.11943893298059964,ug m-3
212,concpm25,ES0010R,2010-2019,summer,-0.034535304565047345,1.9527520193237755,6.5611609882778605,-0.0022659169303048295,0.12812306483586625,9,1.0,ug m-3
213,concpm25,ES0010R,2010-2019,autumn,-0.9540205148865893,2.5211159073736216,6.063361406326294,-0.05784571170806885,0.152775635321935,9,0.612202380952381,ug m-3
214,concpm25,ES0010R,2010-2019,winter,0.39601889696741455,3.0725974113014676,4.6329262256622314,0.01834726333618164,0.14228549599647522,10,0.8618005952380953,ug m-3
215,concpm25,ES0010R,2005-2019,all,-2.724203461277936,0.8942004146634233,7.865683233934986,-0.21427721491201518,0.06744935488460031,14,0.009753043266808148,ug m-3
216,concpm25,ES0010R,2005-2019,spring,-3.0075711577893633,1.096004939901547,8.574390192826588,-0.2578808863957722,0.08990540416152397,14,0.009753043266808148,ug m-3
217,concpm25,ES0010R,2005-2019,summer,-2.420944267080423,1.2760153253136821,8.076668639977774,-0.19553164641062426,0.10063116285536017,14,0.04717599910928284,ug m-3
218,concpm25,ES0010R,2005-2019,autumn,-2.8608319621465816,0.9617809076850466,7.667806307474773,-0.2193630536397299,0.070478526831476,14,0.006742338739486557,ug m-3
219,concpm25,ES0010R,2005-2019,winter,-2.664390994245663,1.9553121402108777,6.959782044092815,-0.18543580600193568,0.13281402764496986,15,0.13946285911906778,ug m-3
220,concpm25,GB1055R,2000-2019,all,,,,,,3,,ug m-3
221,concpm25,GB1055R,2000-2019,spring,,,,,,3,,ug m-3
222,concpm25,GB1055R,2000-2019,summer,,,,,,3,,ug m-3
223,concpm25,GB1055R,2000-2019,autumn,,,,,,3,,ug m-3
