,concpm25,concso4,concnh4,concno3pm25,concCecpm25,concoaf,concCocpm25
2010-09-22,9.594207,1.8379171,1.1091127,1.7035272,0.3936129,2.639975,1.4479613
2010-09-23,4.320052,1.1098093,0.45851538,0.20088057,0.12289663,1.3501096,0.71823937
2010-09-24,4.9651904,0.75475425,0.6169585,1.160244,0.23499678,1.365782,0.7469628
2010-09-25,2.3161454,0.3068952,0.14569083,0.10988763,0.12932743,1.161409,0.64151615
2010-09-26,5.0945725,0.58218986,0.65845996,1.5423387,0.20891356,1.3133218,0.73313564
2010-09-27,5.606881,0.9405629,0.7489842,1.4326113,0.15834098,1.2393095,0.6729442
2010-09-28,12.91585,1.6373386,1.748161,4.0367866,0.526384,2.6334724,1.4789761
2010-09-29,17.168127,1.8794068,2.4667444,6.1969447,0.5968483,3.1491466,1.7739923
2010-09-30,8.619491,1.2481241,1.1568419,2.4464505,0.26486996,2.074557,1.1355189
2010-10-01,11.992889,1.8918165,1.4922829,2.9325504,0.4058834,3.2710805,1.7706392
2010-10-02,12.919955,2.9574065,1.5452071,2.002139,0.25629243,3.4224062,1.7908238
2010-10-03,14.75446,3.8309972,1.6897535,1.7095609,0.3471744,3.4217095,1.8119826
2010-10-04,2.0604906,0.26383933,0.120494634,0.09445481,0.111814365,1.0154527,0.5524642
2010-10-05,3.1917257,0.3638593,0.17538124,0.1560852,0.2083518,1.4740387,0.8386984
2010-10-06,6.3587103,1.2269725,0.7408391,1.0693496,0.20050977,1.6735095,0.9189933
2010-10-07,5.209199,1.1301738,0.4424354,0.2706976,0.08377854,1.1766971,0.62372285
2010-10-08,4.6239114,0.753034,0.28435513,0.18174052,0.075747415,1.1865805,0.6225661
2010-10-09,6.4417987,0.6983553,0.26246354,0.1701411,0.04985127,0.9790373,0.5073005
2010-10-10,0.8805578,0.058032878,0.022640584,0.0034647207,0.045725632,0.6823338,0.36232054
2010-10-11,0.76092297,0.10091726,0.03853858,0.004239272,0.020598607,0.5107996,0.26238152
2010-10-12,3.8696494,0.78469855,0.36525804,0.31543264,0.15779816,1.2333661,0.6578839
2010-10-13,5.3052363,0.5846673,0.56615555,1.2311234,0.1906677,1.9759016,1.0737909
2010-10-14,16.938496,2.7035806,2.430919,5.07085,0.5165374,3.3088915,1.8192649
2010-10-15,22.048302,2.5511198,3.2705112,8.133154,0.58920825,4.1025233,2.2552102
2010-10-16,17.682194,2.5480747,2.6467173,6.008797,0.4215764,3.3518898,1.8113053
